Year,site_name,launch_site,Longitude,Latitude,Category,Result,Count
1947,"White Sands Missile Range, New Mexico",WS,-106.53,32.4,Suborbital,Failure,4
1947,"White Sands Missile Range, New Mexico",WS,-106.53,32.4,Suborbital,Success,17
1948,"GTsP-4, Kapustin Yar, Volgograd, Rossiya",GTsP-4,45.8,48.5,Military,Failure,1
1948,"GTsP-4, Kapustin Yar, Volgograd, Rossiya",GTsP-4,45.8,48.5,Military,Success,8
1948,"Holloman Air Development Center, New Mexico",HADC,-106.103,32.8496,Military,Failure,2
1948,"Holloman Air Development Center, New Mexico",HADC,-106.103,32.8496,Military,Success,3
1948,"Wallops Flight Facility, Wallops Island, Virginia",WI,-75.48,37.83,Atmosphere,Failure,1
1948,"Wallops Flight Facility, Wallops Island, Virginia",WI,-75.48,37.83,Atmosphere,Success,7
1948,"White Sands Missile Range, New Mexico",WS,-106.53,32.4,Atmosphere,Success,26
1948,"White Sands Missile Range, New Mexico",WS,-106.53,32.4,Military,Failure,2
1948,"White Sands Missile Range, New Mexico",WS,-106.53,32.4,Military,Success,1
1948,"White Sands Missile Range, New Mexico",WS,-106.53,32.4,Suborbital,Failure,5
1948,"White Sands Missile Range, New Mexico",WS,-106.53,32.4,Suborbital,Success,17
1949,"GTsP-4, Kapustin Yar, Volgograd, Rossiya",GTsP-4,45.8,48.5,Military,Failure,4
1949,"GTsP-4, Kapustin Yar, Volgograd, Rossiya",GTsP-4,45.8,48.5,Military,Success,27
1949,"Holloman Air Development Center, New Mexico",HADC,-106.103,32.8496,Suborbital,Failure,1
1949,"Holloman Air Development Center, New Mexico",HADC,-106.103,32.8496,Suborbital,Success,1
1949,APL Aerobee Pacific Ocean cruise,POR22,-88.43,-11.1,Suborbital,Failure,1
1949,APL Aerobee Pacific Ocean cruise,POR22,-88.43,-11.1,Suborbital,Success,2
1949,"Wallops Flight Facility, Wallops Island, Virginia",WI,-75.48,37.83,Atmosphere,Failure,2
1949,"Wallops Flight Facility, Wallops Island, Virginia",WI,-75.48,37.83,Atmosphere,Success,12
1949,"White Sands Missile Range, New Mexico",WS,-106.53,32.4,Atmosphere,Success,3
1949,"White Sands Missile Range, New Mexico",WS,-106.53,32.4,Military,Failure,2
1949,"White Sands Missile Range, New Mexico",WS,-106.53,32.4,Suborbital,Failure,7
1949,"White Sands Missile Range, New Mexico",WS,-106.53,32.4,Suborbital,Success,18
1949,"White Sands Missile Range, New Mexico",WS,-106.53,32.4,Suborbital,Unknown,3
1950,"USS Norton Sound, 1950 Bering Sea expedition",BER1,-170,58,Suborbital,Success,2
1950,"Cape Canaveral Air Station, Florida",CC,-80.54,28.46,Military,Failure,1
1950,"Cape Canaveral Air Station, Florida",CC,-80.54,28.46,Military,Success,2
1950,"Cape Canaveral Air Station, Florida",CC,-80.54,28.46,Suborbital,Failure,1
1950,"Cape Canaveral Air Station, Florida",CC,-80.54,28.46,Suborbital,Success,1
1950,"GTsP-4, Kapustin Yar, Volgograd, Rossiya",GTsP-4,45.8,48.5,Military,Failure,5
1950,"GTsP-4, Kapustin Yar, Volgograd, Rossiya",GTsP-4,45.8,48.5,Military,Success,7
1950,"Holloman Air Development Center, New Mexico",HADC,-106.103,32.8496,Military,Failure,1
1950,"Holloman Air Development Center, New Mexico",HADC,-106.103,32.8496,Suborbital,Failure,1
1950,"Holloman Air Development Center, New Mexico",HADC,-106.103,32.8496,Suborbital,Success,6
1950,Viking/Project Reach,POR8,-161.4167,0.1866,Suborbital,Success,1
1950,"Camp de Suippes, Marne, France",SUIP,4.53,49.15,Suborbital,Failure,1
1950,"Camp de Suippes, Marne, France",SUIP,4.53,49.15,Suborbital,Success,1
1950,"Wallops Flight Facility, Wallops Island, Virginia",WI,-75.48,37.83,Atmosphere,Failure,2
1950,"Wallops Flight Facility, Wallops Island, Virginia",WI,-75.48,37.83,Atmosphere,Success,23
1950,"White Sands Missile Range, New Mexico",WS,-106.53,32.4,Atmosphere,Success,26
1950,"White Sands Missile Range, New Mexico",WS,-106.53,32.4,Military,Failure,2
1950,"White Sands Missile Range, New Mexico",WS,-106.53,32.4,Military,Success,3
1950,"White Sands Missile Range, New Mexico",WS,-106.53,32.4,Suborbital,Failure,4
1950,"White Sands Missile Range, New Mexico",WS,-106.53,32.4,Suborbital,Success,17
1951,"Cape Canaveral Air Station, Florida",CC,-80.54,28.46,Military,Failure,7
1951,"Cape Canaveral Air Station, Florida",CC,-80.54,28.46,Military,Success,15
1951,"GTsP-4, Kapustin Yar, Volgograd, Rossiya",GTsP-4,45.8,48.5,Military,Failure,1
1951,"GTsP-4, Kapustin Yar, Volgograd, Rossiya",GTsP-4,45.8,48.5,Military,Success,28
1951,"GTsP-4, Kapustin Yar, Volgograd, Rossiya",GTsP-4,45.8,48.5,Suborbital,Success,6
1951,"Holloman Air Development Center, New Mexico",HADC,-106.103,32.8496,Military,Success,16
1951,"Holloman Air Development Center, New Mexico",HADC,-106.103,32.8496,Suborbital,Failure,1
1951,"Holloman Air Development Center, New Mexico",HADC,-106.103,32.8496,Suborbital,Success,10
1951,"Camp de Suippes, Marne, France",SUIP,4.53,49.15,Suborbital,Success,3
1951,"Vernon, Eure, France",VERNON,1.48,49.08,Suborbital,Success,1
1951,"Wallops Flight Facility, Wallops Island, Virginia",WI,-75.48,37.83,Atmosphere,Failure,2
1951,"Wallops Flight Facility, Wallops Island, Virginia",WI,-75.48,37.83,Atmosphere,Success,16
1951,"White Sands Missile Range, New Mexico",WS,-106.53,32.4,Atmosphere,Failure,2
1951,"White Sands Missile Range, New Mexico",WS,-106.53,32.4,Atmosphere,Success,15
1951,"White Sands Missile Range, New Mexico",WS,-106.53,32.4,Atmosphere,Unknown,14
1951,"White Sands Missile Range, New Mexico",WS,-106.53,32.4,Military,Failure,1
1951,"White Sands Missile Range, New Mexico",WS,-106.53,32.4,Military,Success,6
1951,"White Sands Missile Range, New Mexico",WS,-106.53,32.4,Military,Unknown,1
1951,"White Sands Missile Range, New Mexico",WS,-106.53,32.4,Suborbital,Failure,5
1951,"White Sands Missile Range, New Mexico",WS,-106.53,32.4,Suborbital,Success,10
1952,Eastwind 1952 Arctic expedition,ARO1,-68.47,80.1,Suborbital,Failure,2
1952,Eastwind 1952 Arctic expedition,ARO1,-68.47,80.1,Suborbital,Success,5
1952,"Le Cardonnet, Montpelier, France",CARD,3.64,43.58,Suborbital,Success,5
1952,"Cape Canaveral Air Station, Florida",CC,-80.54,28.46,Military,Failure,9
1952,"Cape Canaveral Air Station, Florida",CC,-80.54,28.46,Military,Success,32
1952,"GTsP-4, Kapustin Yar, Volgograd, Rossiya",GTsP-4,45.8,48.5,Military,Failure,2
1952,"GTsP-4, Kapustin Yar, Volgograd, Rossiya",GTsP-4,45.8,48.5,Military,Success,24
1952,"Holloman Air Development Center, New Mexico",HADC,-106.103,32.8496,Military,Success,4
1952,"Holloman Air Development Center, New Mexico",HADC,-106.103,32.8496,Suborbital,Failure,3
1952,"Holloman Air Development Center, New Mexico",HADC,-106.103,32.8496,Suborbital,Success,10
1952,"Centre Interarmees d'Essais d'Engins Speciaux (CIEES), Algerie",HMG,-3.083,30.887,Suborbital,Failure,8
1952,"Centre Interarmees d'Essais d'Engins Speciaux (CIEES), Algerie",HMG,-3.083,30.887,Suborbital,Success,1
1952,"Wallops Flight Facility, Wallops Island, Virginia",WI,-75.48,37.83,Atmosphere,Failure,5
1952,"Wallops Flight Facility, Wallops Island, Virginia",WI,-75.48,37.83,Atmosphere,Success,33
1952,"White Sands Missile Range, New Mexico",WS,-106.53,32.4,Atmosphere,Success,89
1952,"White Sands Missile Range, New Mexico",WS,-106.53,32.4,Atmosphere,Unknown,63
1952,"White Sands Missile Range, New Mexico",WS,-106.53,32.4,Military,Success,2
1952,"White Sands Missile Range, New Mexico",WS,-106.53,32.4,Military,Unknown,29
1952,"White Sands Missile Range, New Mexico",WS,-106.53,32.4,Suborbital,Failure,2
1952,"White Sands Missile Range, New Mexico",WS,-106.53,32.4,Suborbital,Success,14
1953,"USS Staten Island, 1953 Arctic expedition (Operation MUSHRAT)",AOR11,-70.37,42.43,Suborbital,Failure,6
1953,"USS Staten Island, 1953 Arctic expedition (Operation MUSHRAT)",AOR11,-70.37,42.43,Suborbital,Success,7
1953,"USS Staten Island, 1953 Arctic expedition (Operation MUSHRAT)",AOR11,-70.37,42.43,Suborbital,Unknown,1
1953,"USS Eastwind, 1953 Arctic expedition",AOR11B,-55.08,53.1,Suborbital,Failure,2
1953,"USS Eastwind, 1953 Arctic expedition",AOR11B,-55.08,53.1,Suborbital,Success,6
1953,"Cape Canaveral Air Station, Florida",CC,-80.54,28.46,Military,Failure,9
1953,"Cape Canaveral Air Station, Florida",CC,-80.54,28.46,Military,Success,50
1953,"GTsP-4, Kapustin Yar, Volgograd, Rossiya",GTsP-4,45.8,48.5,Military,Failure,6
1953,"GTsP-4, Kapustin Yar, Volgograd, Rossiya",GTsP-4,45.8,48.5,Military,Success,39
1953,"Holloman Air Development Center, New Mexico",HADC,-106.103,32.8496,Suborbital,Failure,1
1953,"Holloman Air Development Center, New Mexico",HADC,-106.103,32.8496,Suborbital,Success,11
1953,"Centre Interarmees d'Essais d'Engins Speciaux (CIEES), Algerie",HMG,-3.083,30.887,Suborbital,Failure,1
1953,"Centre Interarmees d'Essais d'Engins Speciaux (CIEES), Algerie",HMG,-3.083,30.887,Suborbital,Success,1
1953,"Wallops Flight Facility, Wallops Island, Virginia",WI,-75.48,37.83,Atmosphere,Failure,3
1953,"Wallops Flight Facility, Wallops Island, Virginia",WI,-75.48,37.83,Atmosphere,Success,28
1953,"White Sands Missile Range, New Mexico",WS,-106.53,32.4,Atmosphere,Success,232
1953,"White Sands Missile Range, New Mexico",WS,-106.53,32.4,Atmosphere,Unknown,123
1953,"White Sands Missile Range, New Mexico",WS,-106.53,32.4,Military,Failure,1
1953,"White Sands Missile Range, New Mexico",WS,-106.53,32.4,Military,Success,6
1953,"White Sands Missile Range, New Mexico",WS,-106.53,32.4,Military,Unknown,40
1953,"White Sands Missile Range, New Mexico",WS,-106.53,32.4,Suborbital,Success,11
1954,"USS Eastwind, 1954 Arctic expedition",AOR12,-66.7,42.1,Suborbital,Failure,4
1954,"USS Eastwind, 1954 Arctic expedition",AOR12,-66.7,42.1,Suborbital,Success,16
1954,"Cape Canaveral Air Station, Florida",CC,-80.54,28.46,Military,Failure,7
1954,"Cape Canaveral Air Station, Florida",CC,-80.54,28.46,Military,Success,68
1954,"Ft Wainwright, Alaska",FWAK,-147.633,64.83,Suborbital,Success,1
1954,"GTsP-4, Kapustin Yar, Volgograd, Rossiya",GTsP-4,45.8,48.5,Military,Failure,3
1954,"GTsP-4, Kapustin Yar, Volgograd, Rossiya",GTsP-4,45.8,48.5,Military,Success,58
1954,"GTsP-4, Kapustin Yar, Volgograd, Rossiya",GTsP-4,45.8,48.5,Military,Unknown,6
1954,"GTsP-4, Kapustin Yar, Volgograd, Rossiya",GTsP-4,45.8,48.5,Suborbital,Success,4
1954,"Holloman Air Development Center, New Mexico",HADC,-106.103,32.8496,Suborbital,Success,5
1954,"Centre Interarmees d'Essais d'Engins Speciaux (CIEES), Algerie",HMG,-3.083,30.887,Military,Failure,1
1954,"Centre Interarmees d'Essais d'Engins Speciaux (CIEES), Algerie",HMG,-3.083,30.887,Suborbital,Failure,2
1954,"Centre Interarmees d'Essais d'Engins Speciaux (CIEES), Algerie",HMG,-3.083,30.887,Suborbital,Success,2
1954,"Wallops Flight Facility, Wallops Island, Virginia",WI,-75.48,37.83,Atmosphere,Failure,3
1954,"Wallops Flight Facility, Wallops Island, Virginia",WI,-75.48,37.83,Atmosphere,Success,28
1954,"Wallops Flight Facility, Wallops Island, Virginia",WI,-75.48,37.83,Suborbital,Success,3
1954,"White Sands Missile Range, New Mexico",WS,-106.53,32.4,Atmosphere,Success,395
1954,"White Sands Missile Range, New Mexico",WS,-106.53,32.4,Atmosphere,Unknown,161
1954,"White Sands Missile Range, New Mexico",WS,-106.53,32.4,Military,Failure,2
1954,"White Sands Missile Range, New Mexico",WS,-106.53,32.4,Military,Success,6
1954,"White Sands Missile Range, New Mexico",WS,-106.53,32.4,Military,Unknown,50
1954,"White Sands Missile Range, New Mexico",WS,-106.53,32.4,Suborbital,Failure,1
1954,"White Sands Missile Range, New Mexico",WS,-106.53,32.4,Suborbital,Success,12
1955,"USS Staten Island, 1955 Arctic expedition",AOR13,-66.18,42.67,Suborbital,Failure,9
1955,"USS Staten Island, 1955 Arctic expedition",AOR13,-66.18,42.67,Suborbital,Success,17
1955,"White Sea Launch Area, Beloye More, Archangel'sk Oblast'",BELA,38,65.5,Military,Success,1
1955,"Cape Canaveral Air Station, Florida",CC,-80.54,28.46,Atmosphere,Success,2
1955,"Cape Canaveral Air Station, Florida",CC,-80.54,28.46,Military,Failure,5
1955,"Cape Canaveral Air Station, Florida",CC,-80.54,28.46,Military,Success,60
1955,"Cape Canaveral Air Station, Florida",CC,-80.54,28.46,Suborbital,Failure,2
1955,"Cape Canaveral Air Station, Florida",CC,-80.54,28.46,Suborbital,Success,1
1955,"Churchill Research Range, Fort Churchill, Manitoba, Canada",FC,-93.8203,58.7343,Atmosphere,Success,5
1955,"GTsP-4, Kapustin Yar, Volgograd, Rossiya",GTsP-4,45.8,48.5,Military,Failure,7
1955,"GTsP-4, Kapustin Yar, Volgograd, Rossiya",GTsP-4,45.8,48.5,Military,Success,101
1955,"GTsP-4, Kapustin Yar, Volgograd, Rossiya",GTsP-4,45.8,48.5,Suborbital,Success,3
1955,"Holloman Air Development Center, New Mexico",HADC,-106.103,32.8496,Military,Success,7
1955,"Holloman Air Development Center, New Mexico",HADC,-106.103,32.8496,Suborbital,Failure,1
1955,"Holloman Air Development Center, New Mexico",HADC,-106.103,32.8496,Suborbital,Success,10
1955,"Centre Interarmees d'Essais d'Engins Speciaux (CIEES), Algerie",HMG,-3.083,30.887,Military,Success,2
1955,"Centre Interarmees d'Essais d'Engins Speciaux (CIEES), Algerie",HMG,-3.083,30.887,Suborbital,Success,4
1955,"Naval Air Ordnance Test Station, Chincoteague, Virginia",NAOTS,-75.36,37.92,Suborbital,Failure,4
1955,"Naval Air Ordnance Test Station, Chincoteague, Virginia",NAOTS,-75.36,37.92,Suborbital,Success,1
1955,"Naval Missile and Astronautics Center, Point Mugu, California",PM,-119.12,34.12,Suborbital,Success,2
1955,"Wallops Flight Facility, Wallops Island, Virginia",WI,-75.48,37.83,Atmosphere,Failure,5
1955,"Wallops Flight Facility, Wallops Island, Virginia",WI,-75.48,37.83,Atmosphere,Success,22
1955,"Wallops Flight Facility, Wallops Island, Virginia",WI,-75.48,37.83,Suborbital,Success,2
1955,"White Sands Missile Range, New Mexico",WS,-106.53,32.4,Atmosphere,Success,378
1955,"White Sands Missile Range, New Mexico",WS,-106.53,32.4,Atmosphere,Unknown,86
1955,"White Sands Missile Range, New Mexico",WS,-106.53,32.4,Military,Unknown,91
1955,"White Sands Missile Range, New Mexico",WS,-106.53,32.4,Suborbital,Failure,2
1955,"White Sands Missile Range, New Mexico",WS,-106.53,32.4,Suborbital,Success,12
1956,Akita Rocket Range (ATC),AKT,140.06,39.57,Atmosphere,Success,7
1956,USS Rushmore U. Michigan Cruise 1956,AOR14,-71,40,Suborbital,Success,5
1956,"Pacific Proving Grounds, Bikini Island, Pacific Ocean",BIK,165.33,11.58,Suborbital,Success,5
1956,"Cape Canaveral Air Station, Florida",CC,-80.54,28.46,Military,Failure,7
1956,"Cape Canaveral Air Station, Florida",CC,-80.54,28.46,Military,Success,55
1956,"Cape Canaveral Air Station, Florida",CC,-80.54,28.46,Suborbital,Failure,3
1956,"Cape Canaveral Air Station, Florida",CC,-80.54,28.46,Suborbital,Success,17
