Site,Code,Ucode,Type,StateCode,Tstart,Tstop,ShortName,Name,Location,Longitude,Latitude,Error,Parent,ShortEname,Ename,Uname
BROCK,,BROCK,LS,US,20-Apr,*,BROCK -,"Black Rock Desert, Nevada",-,-119.14,40.83,0.05,USDI,-,-,-
CARD,,CARD,LS,F,Jan-52,Jan-52,CARD  -,"Le Cardonnet, Montpelier, France",-,3.64,43.58,0.05,DGA,-,-,-
CARN,,CARN,LS,AU,16-Jul-64,Oct-64,CARN  -,"Carnarvon, Western Australia",-,113.4,-24.5,0.02,WRE,-,-,-
CARN2,,CARN2,LS,AU,May-65,11-May-65,CARN2 -,"Carnarvon north site, Western Australia",-,113.25,-24.1,0.2,WRE,-,-,-
CASS,,CASS,LS,BR,05-Nov-66,12-Nov-66,CASS  -,"Cassino, Rio Grande Do Sul, Brasil",-,-52.1689,-32.1927,0.0001,INPE/NASA?,-,-,-
CC,,CC,LS,US,1992,*,CC    -,"Cape Canaveral Air Station, Florida",-,-80.54,28.46,0.05,USAF,Canaveral,-,CC
CCMTA,,CC,LS,US,16-Dec-55,22-Jan-64,CCMTA,"Cape Canaveral Missile Test Annex, Air Force Missile Test Center","Cape Canaveral, Florida",-80.54,28.46,0.05,USAF,-,-,-
CKAFS,,CC,LS,US,22-Jan-64,Mar-74,CKAFS,"Cape Kennedy Air Force Station, Eastern Test Range","Cape Kennedy, Florida",-80.54,28.46,0.05,USAF,-,-,CC
CCA,,CCA,LS,US,1984,01-Jan-98,CC (A),"Cape Canaveral Air Force Station, Eastern Test Range","Cape Canaveral, Florida",-80.54,28.46,0.05,USAF,-,-,-
CCAFS,,CC,LS,US,Mar-74,1992,CCAFS,"Cape Canaveral Air Force Station, Eastern Test Range","Cape Canaveral, Florida",-80.54,28.46,0.05,USAF,-,-,-
CCSP,,CCSP,LS,US,2020?,,CCSP,Cape Canaveral Spaceport,"Cape Canaveral, Florida",-80.6944,28.6149,0.0002,SPFL,-,-,-
CEL,,CEL,LS,F,11-Mar-64,*,CEL   -,"Centre d'Essais de Landes, Biscarosse, Landes, France",-,-1.25,44.45,0.02,F,-,-,-
CELAT,,CELAT,LS,AR,1968,1970,CELAT -,"CELPA Atlantica, Mar Chiquita, Buenos Aires, Argentina",-,-57.42,-37.75,0.02,AR,-,-,-
