Site,Code,Ucode,Type,StateCode,Tstart,Tstop,ShortName,Name,Location,Longitude,Latitude,Error,Parent,ShortEname,Ename,Uname
POR28,,POR28,LZ,US,2015,-,POR28 -,Pacific Ocean Launch Site BOA SW of Hawaii,-,,,,USN,-,-,OCEAN
POR29,,POR29,LZ,US,2017,-,POR29 -,Pacific Ocean Launch Site for Alaska intercept tests,-,,,,MDA,-,-,OCEAN
POR30,,POR30,LZ,US,1969,-,POR30 -,TAGBOARD drop point north of Kauai,-,,,,USAF,-,-,OCEAN
PMR,,WTR,LZ,US,1960,1974,WTR   -,"SLBM Launch Area, Western Test Range, Pacific Ocean",-,-120,35,3,USN,-,-,OCEAN
ROS,,ROS,LZ,US,1959,1967,ROS   -,"Rosamund Dry Lake, California",-,-118.05,34.83,0.01,NASA/USAF,-,-,-
RRV,,RRV,LZ,US,1959,1967,RRV   -,"Railroad Valley Lake drop zone, Nevada",-,-116.18,38.22,0.1,NASA/USAF,-,-,-
SIL,,SIL,LZ,US,1960,-,SIL   -,"Silver Lake 1 drop zone, California",-,-115.8,35.53,0.1,USAF,-,-,-
SIMLA,,SIMLA,LZ,SU,-,-,SIMLA -,"Simushir Island launch area, Pacific Ocean",-,152,47,1,VMF,-,-,OCEAN
SRL,,SRL,LZ,US,1959,1967,SRL   -,"Smith Ranch Lake drop zone, Nevada",-,-117.17,39.5,0.02,NASA/USAF,-,-,OCEAN
UNKPL,,UNKPL,LZ,SU,-,-,UNKPL -,Unknown Soviet/Russian submarine launch area,-,,,,VMF,-,-,OCEAN
WTR,,WTR,LZ,US,1974,*,WTR   -,"SLBM Launch Area, Western Test Range, Pacific Ocean",-,-120,35,3,USN,-,-,OCEAN
WTR-A,,WTR-A,LZ,US,1974,*,WTR   -,"SLBM Launch Area, Western Test Range, Pacific Ocean",-,-117.75,32.25,0.2,USN,-,-,OCEAN
WTR-B,,WTR-B,LZ,US,1974,*,WTR   -,"SLBM Launch Area, Western Test Range, Pacific Ocean",-,-123.2,34.75,0.2,USN,-,-,OCEAN
WTR-JI,,WTR-JI,LZ,US,1964,*,WTR   -,"Johnston Island SLBM Launch Area, Western Test Range, Pacific Ocean",-,-120,35,3,USN,-,-,OCEAN
YEL,,YEL,LZ,CN,-,-,YEL   -,Yellow Sea launch area,-,123,35,3,CN,-,-,OCEAN
#,,-,,,,,,,,,,,,,,
AOR4,,AOR4,LC,US,-,-,AOR4,"USS Croatan, 1964 Atlantic Ocean cruise",Atlantic Ocean,-,-,,USN,,,OCEAN
AOR5,,AOR5,LC,US,07-Jan-65,07-Jan-65,AOR5,"USNS Wheeling, 1965 Hydra-Iris SAA expedition",Atlantic Ocean,-27.42,-56.53,0.02,USN,-,-,OCEAN
AOR7,,AOR7,LC,US,27-Aug-58,Sep-58,AOR7,"USS Norton Sound, 1958 Argus expedition","Tristan de Cunha, Atlantic Ocean",-11.5,-38.5,0.1,USN,-,-,OCEAN
AOR10,,AOR10,LC,US,06-Sep-47,06-Sep-47,AOR10 -,"USS Midway, Operation Sandy 1947 ""several hundred mi SE Bermuda""",Atlantic Ocean,-60,27,5,USN,-,-,OCEAN
AOR11,,AOR11,LC,US,18-Jul-53,Sep-53,AOR11,"USS Staten Island, 1953 Arctic expedition (Operation MUSHRAT)",Atlantic Ocean,-70.37,42.43,0.01,SUI,-,-,OCEAN
AOR11B,,AOR11B,LC,US,Aug-53,Sep-53,Eastwind 1953,"USS Eastwind, 1953 Arctic expedition",Atlantic Ocean,-55.08,53.1,0.01,SUI,-,-,OCEAN
AOR12,,AOR12,LC,US,16-Jul-54,16-Jul-54,Eastwind 1954,"USS Eastwind, 1954 Arctic expedition",Atlantic Ocean,-66.7,42.1,0.01,SUI,-,-,OCEAN
AOR13,,AOR13,LC,US,23-Sep-55,23-Sep-55,Staten I1955,"USS Staten Island, 1955 Arctic expedition",Atlantic Ocean,-66.18,42.67,0.01,SUI,-,-,OCEAN
AOR14,,AOR14,LC,US,27-Oct-56,10-Nov-56,AOR14,USS Rushmore U. Michigan Cruise 1956,Atlantic Ocean,-71,40,0.5,USN/UMI,-,-,OCEAN
AOR16,,AOR16,LC,SU,Feb-85,Apr-85,AOR16 -,"Zubov Expedition 8, 1985A Feb-Apr, 68-18N 0-30W",Atlantic Ocean,-,-,,GMS,,,OCEAN
AOR17,,AOR17,LC,SU,1968,1968,AOR17 -,"Vise Expedition 1968, 10 to 24N 20 to 35W",Atlantic Ocean,-20,10,1,GMS,-,-,OCEAN
AOR18,,AOR18,LC,SU,1970,1970,AOR18 -,"Vise Expedition 1970, 39 to 0 N, 30 to 18W",Atlantic Ocean,-30,39,1,GMS,-,-,OCEAN
AOR19,,AOR19,LC,SU,1973,1973,AOR19 -,"Vise Expedition 1973, 50 N to 3 S, 30 to 25W",Atlantic Ocean,-30,50,1,GMS,-,-,OCEAN
AOR20,,AOR20,LC,SU,1976,1976,AOR20 -,"Vise Expedition 1976, 60N-8S, 35-30W, then IOR 15S 63E",Atlantic Ocean,-35,60,1,GMS,-,-,OCEAN
AOR21,,AOR21,LC,SU,1976,1977,AOR21 -,"Vise Expedition 1977, 20-14N 61-30W",Atlantic Ocean,-61,20,1,GMS,-,-,OCEAN
AOR22,,AOR22,LC,SU,1978,1978,AOR22 -,Vise Expedition 1978  38-20N 75-30W,Atlantic Ocean,-75,38,1,GMS,-,-,OCEAN
AOR23,,AOR23,LC,SU,1982,1982,AOR23 -,Vise Expedition 1982  68N-25S 30-0W,Atlantic Ocean,-30,68,1,GMS,-,-,OCEAN
AOR24,,AOR24,LC,SU,1982,1982,AOR24 -,Vise Expedition 1983  68-0N    22-0W,Atlantic Ocean,-30,68,1,GMS,-,-,OCEAN
AOR25,,AOR25,LC,SU,1986,1986,AOR25 -,"Vise Expedition 1986, Atlantic",Atlantic Ocean,-,-,,GMS,-,,OCEAN
AOR26,,AOR26,LC,SU,1969,1969,AOR26 -,"Zubov Expedition 1969, 45-0N 46-18W",Atlantic Ocean,-46,45,1,GMS,-,-,OCEAN
AOR27,,AOR27,LC,SU,1969,1969,AOR27 -,"Zubov Expedition 1969/2, 65-41N 38-17W",Atlantic Ocean,-46,45,1,GMS,-,-,OCEAN
AOR28,,AOR28,LC,SU,-,-,AOR28 -,Zubov Expedition 1971-2  24-0N 53-24W,Atlantic Ocean,-,-,,GMS,,,OCEAN
AOR29,,AOR29,LC,SU,-,-,AOR29 -,"Zubov Expedition 1975   60N-10S, 30-24W",Atlantic Ocean,-,-,,GMS,,,OCEAN
AOR30,,AOR30,LC,SU,-,-,AOR30 -,"Zubov Expedition 1975-76 60N-10S, 30W",Atlantic Ocean,-,-,,GMS,,,OCEAN
AOR31,,AOR31,LC,SU,-,-,AOR31 -,"Zubov Expedition 1980 Apr-Jul, 68N-27S, 0-35W",Atlantic Ocean,-,-,,GMS,,,OCEAN
AOR32,,AOR32,LC,SU,-,-,AOR32 -,"Zubov Expedition 1981 May-Aug, 76-20N 0-35W",Atlantic Ocean,-,-,,GMS,,,OCEAN
AOR33,,AOR33,LC,SU,-,-,AOR33 -,"Zubov Expedition 9,1985 Aug-Nov, 72N-27S, 5E-35W",Atlantic Ocean,-,-,,GMS,,,OCEAN
AOR34,,AOR34,LC,SU,Sep-86,Nov-86,AOR34 -,"Zubov Expedition 10, 66-0N 0-20W",Atlantic Ocean,,,,GMS,-,-,OCEAN
AOR35,,AOR35,LC,SU,Jun-87,Sep-87,AOR35 -,"Zubov Expedition 11, 72N-27S 5-35W",Atlantic Ocean,,,,GMS,-,-,OCEAN
AOR36,,AOR36,LC,SU,Jul-89,Nov-89,AOR36 -,"Zubov Expedition 12, 72N-27S 5-35W",Atlantic Ocean,,,,GMS,-,-,OCEAN
AOR37,,AOR37,LC,SU,Aug-90,Dec-90,AOR37 -,"Zubov Expedition 13, 72N-27S 5-35W",Atlantic Ocean,,,,GMS,-,-,OCEAN
AOR38,,AOR38,LC,SU,Jul-91,Oct-91,AOR38 -,"Zubov Expedition 14, Caribbean and equatorial",Atlantic Ocean,,,,GMS,-,-,OCEAN
AOR39,,AOR39,LC,US,1958,1958,AOR39 -,"USS Warrington, TF88 cruise from Virginia to S Atlantic, Argus 1958",Atlantic Ocean,-,-,,USN,,,OCEAN
AOR40,,AOR40,LC,US,Feb-66,Feb-66,AOR40 -,"Ship Sierra point, Feb 1966 [Unknown USN vessel maybe Range Rec.]",Atlantic Ocean,-63.5,26.6,0.1,USA,-,-,OCEAN
AOR41,,AOR41,LC,US,1958,1958,AOR41 -,Terrier intercept test area off US Atlantic coast (RI/Mass?),Atlantic Ocean,-,-,,USN,,,OCEAN
AOR42,,AOR42,LC,SU,1985,1985,AOR42,"VMF launch area in Atlantic, location unknown",Atlantic Ocean,-,-,,USN,,,OCEAN
ARO1,,ARO1,LC,US,21-Aug-52,21-Aug-52,ARO1,Eastwind 1952 Arctic expedition,Arctic Ocean,-68.47,80.1,0.1,SUI,-,-,OCEAN
BER1,,BER1,LC,US,Jan-50,Jan-50,BER1,"USS Norton Sound, 1950 Bering Sea expedition",-,-170,58,9,APL,-,-,OCEAN
DOMFB,,DOMFB,LC,US,19-Apr-62,May-62,DOMFB -,"DOMINIC/FRIGATE BIRD launch point, Pacific Ocean",-,-134.03,12.53,0.01,USN,-,-,OCEAN
IGY01,,IGY01,LC,US,01-Aug-57,20-Aug-57,IGY01 -,"1957 NRL USS Plymouth Rock Cruise, Atlantic Ocean",-,-54,55,0.02,USN,-,-,OCEAN
IGY02,,IGY02,LC,US,23-Sep-57,10-Nov-57,IGY02 -,"1957 NRL USS Glacier cruise, Atlantic and Pacific Oceans",-,-0.99,0.83,0.02,USN,-,-,OCEAN
IOR1,,IOR1,LC,SU,1976,1976,IOR1  -,"Vise Expedition 1976,  IOR 15S 63E",-,63,-15,1,SU,-,-,OCEAN
IOR2,,IOR2,LC,SU,1967,1967,IOR2,"Vokyekov Expedition 1967, IOR  Launch Position 1",-,87.283,-0.53,0.01,SU,-,-,OCEAN
IOR3,,IOR3,LC,SU,1970,1970,IOR3  -,"Shokalsky Expedition 1970, near Kerguelen",-,65,-50,1,SU,-,-,OCEAN
KORO72A,,KORO72A,LC,SU,Jan-72,Mar-72,KORO72A,Korolev cruise Jan-Mar 1972,-,,,,SU,-,-,OCEAN
KORO73A,,KORO73A,LC,SU,Feb-73,Mar-73,KORO73A,Korolev cruise Feb - Mar 1973,-,,,,SU,-,-,OCEAN
KORO73B,,KORO73B,LC,SU,Sep-73,1973,KORO73B,Korolev cruise Sept-Dec 1973 via CSG,-,,,,SU,-,-,OCEAN
KORO74A,,KORO74A,LC,SU,Feb-74,May-74,KORO74A,Korolev cruise 1974,-,,,,SU,-,-,OCEAN
KORO74B,,KORO74B,LC,SU,Oct-74,Nov-74,KORO74B,Korolev cruise 1974,-,,,,SU,-,-,OCEAN
KORO75A,,KORO75A,LC,SU,Mar-75,Mar-75,KORO75A,Korolev cruise 1975,-,,,,SU,-,-,OCEAN
KORO77A,,KORO77A,LC,SU,Jan-77,Jan-77,KORO77A,Korolev cruise 1977,-,,,,SU,-,-,OCEAN
KORO77B,,KORO77B,LC,SU,Mar-77,Mar-77,KORO77B,Korolev cruise 1977,-,,,,SU,-,-,OCEAN
KORO77C,,KORO77C,LC,SU,Nov-77,Mar-78,KORO77C,Korolev cruise 1977,-,,,,SU,-,-,OCEAN
KORO78A,,KORO78A,LC,SU,Apr-78,Apr-78,KORO78A,Korolev cruise 1978,-,,,,SU,-,-,OCEAN
KORO79A,,KORO79A,LC,SU,Jan-79,Feb-79,KORO79A,Korolev cruise 1979,-,,,,SU,-,-,OCEAN
KORO79B,,KORO79B,LC,SU,Apr-79,May-79,KORO79B,Korolev cruise 1979,-,,,,SU,-,-,OCEAN
KORO79C,,KORO79C,LC,SU,Jun-79,Aug-79,KORO79C,Korolev firings mid 1979,-,,,,SU,-,-,OCEAN
KORO79D,,KORO79D,LC,SU,Nov-79,Feb-80,KORO79D,Korolev cruise 1979-80,-,,,,SU,-,-,OCEAN
KORO80A,,KORO80A,LC,SU,May-80,Jun-80,KORO80A,Korolev cruise 1980,-,,,,SU,-,-,OCEAN
KORO81A,,KORO81A,LC,SU,May-81,Jun-81,KORO81A,Korolev cruise 1981,-,,,,SU,-,-,OCEAN
KORO82A,,KORO82A,LC,SU,Feb-82,Mar-82,KORO82A,Korolev cruise 1982,-,,,,SU,-,-,OCEAN
KORO83A,,KORO83A,LC,SU,Jun-83,Aug-83,KORO83A,Korolev cruise 1983,-,,,,SU,-,-,OCEAN
KORO87A,,KORO87A,LC,SU,Jan-87,Mar-87,KORO87A,Korolev cruise 1987,-,,,,SU,-,-,OCEAN
KORO88A,,KORO88A,LC,SU,Dec-88,Mar-89,KORO88A,Korolev cruise 1988-89,-,,,,SU,-,-,OCEAN
KREN77A,,KREN77A,LC,SU,Feb-77,Apr-77,Krenkel 77,Krenkel cruise 1977,-,,,,SU,-,-,OCEAN
KREN77B,,KREN77B,LC,SU,Jun-77,Jul-77,Krenkel 77,Krenkel cruise 1977,-,,,,SU,-,-,OCEAN
KREN77C,,KREN77C,LC,SU,Oct-77,Oct-77,Krenkel 77,Krenkel cruise 1977,-,,,,SU,-,-,OCEAN
KREN78A,,KREN78A,LC,SU,Jul-78,Sep-78,Krenkel 77,Krenkel cruise 1977,-,,,,SU,-,-,OCEAN
KREN79A,,KREN79A,LC,SU,Jan-79,Jan-79,Krenkel 79,Krenkel cruise 1979,-,,,,SU,-,-,OCEAN
KREN79B,,KREN79B,LC,SU,Apr-79,Apr-79,Krenkel 79,Krenkel cruise 1979,-,,,,SU,-,-,OCEAN
KREN79C,,KREN79C,LC,SU,Jul-79,Jul-79,Krenkel 79,Krenkel cruise 1979,-,,,,SU,-,-,OCEAN
KREN79D,,KREN79D,LC,SU,Nov-79,Nov-79,Krenkel 79,Krenkel cruise 1979,-,,,,SU,-,-,OCEAN
KREN80A,,KREN80A,LC,SU,Sep-80,Oct-80,Krenkel 80,Krenkel cruise 1980,-,,,,SU,-,-,OCEAN
KREN81A,,KREN81A,LC,SU,Feb-81,Feb-81,Krenkel 81,Krenkel cruise 1981,-,,,,SU,-,-,OCEAN
KREN81B,,KREN81B,LC,SU,May-81,May-81,Krenkel 81,Krenkel cruise 1981,-,,,,SU,-,-,OCEAN
KREN82A,,KREN82A,LC,SU,Nov-82,Nov-82,Krenkel 82,Krenkel cruise 1982,-,,,,SU,-,-,OCEAN
KREN83A,,KREN83A,LC,SU,Feb-83,Feb-83,Krenkel 83,Krenkel cruise 1983,-,,,,SU,-,-,OCEAN
KREN85A,,KREN85A,LC,SU,Aug-85,Sep-85,Krenkel 85,Krenkel cruise 1985,-,,,,SU,-,-,OCEAN
KREN86A,,KREN86A,LC,SU,Mar-86,Apr-86,Krenkel 86,Krenkel cruise 1986,-,,,,SU,-,-,OCEAN
KREN87A,,KREN87A,LC,SU,Mar-87,Mar-87,Krenkel 87,Krenkel cruise 1987,-,,,,SU,-,-,OCEAN
KREN87B,,KREN87B,LC,SU,Jun-87,Jun-87,Krenkel 87,Krenkel cruise 1987,-,,,,SU,-,-,OCEAN
KREN87C,,KREN87C,LC,SU,Sep-87,Oct-87,Krenkel 87,Krenkel cruise 1987,-,,,,SU,-,-,OCEAN
KREN89A,,KREN89A,LC,SU,Nov-89,Nov-89,Krenkel 89,Krenkel cruise 1989,-,,,,SU,-,-,OCEAN
KREN90A,,KREN90A,LC,SU,Feb-90,Mar-90,Krenkel 90,Krenkel cruise 1990,-,,,,SU,-,-,OCEAN
POR1,,POR1,LC,US,28-Oct-65,28-Oct-65,POR1  -,Hydra Launch Site 2,-,-120,30,0.5,USN,-,-,OCEAN
POR2,,POR2,LC,US,31-May-66,31-May-66,POR2  -,Hydra Launch Site 3,-,-115.8847,9.9511,0.0002,USN,-,-,OCEAN
POR3,,POR3,LC,US,30-Oct-66,30-Oct-66,POR3  -,Hydra Launch Site 4,-,-133,31,0.5,USN,-,-,OCEAN
POR4,,POR4,LC,US,20-Mar-68,20-Mar-68,POR4  -,Hydra Launch Site 5,-,-128,32.25,0.2,USN,-,-,OCEAN
POR5,,POR5,LC,US,03-Nov-68,03-Nov-68,POR5  -,Hydra Launch Site 6,-,-125,27.5,0.5,USN,-,-,OCEAN
POR6,,POR6,LC,US,10-Aug-64,10-Aug-64,POR6  -,Hydra Launch Site 1,-,-123,34,0.5,USN,-,-,OCEAN
POR7,,POR7,LC,US,17-Nov-71,17-Nov-71,POR7  -,Hydra Launch Site 6,-,-125,27,0.5,USN,-,-,OCEAN
POR8,,POR8,LC,US,12-May-50,12-May-50,POR8  -,Viking/Project Reach,-,-161.4167,0.1866,0.02,USN,-,-,OCEAN
POR9,,POR9,LC,US,17-Jul-56,27-Jul-56,POR9,1956 NRL Cruise Launch Point 1,-,-121.57,29.68,0.02,NRL,-,-,OCEAN
POR10,,POR10,LC,US,Oct-58,Oct-58,POR10 -,1958 NRL Cruise,-,-165.5,-10.5,1,NRL,-,-,OCEAN
POR11,,POR11,LC,US,Mar-65,Mar-65,POR11 LP1,1965 Croatan MRF Expedition LP1,-,-79.38,37.78,0.01,"NASA	",-,-,OCEAN
POR12,,POR12,LC,US,1968,1968,POR12 -,"1968 LRL Cruise, Pacific Ocean unknown location",-,,,,USN/LRL,-,-,OCEAN
POR13,,POR13,LC,US,1958,1958,POR13 -,"1958 Point Defiance Expedition, Danger Is., Pacific Ocean",-,-165.48,-10.33,0.01,USN,-,-,OCEAN
POR15,,POR15,LC,SU,1965,1965,POR15,1965 Voyekov expedition,-,156.0358,40.0514,0.0002,AN,-,-,OCEAN
POR16,,POR16,LC,SU,1965,1965,POR16,1965 Shokalskiy expedition,-,131.7686,41.8017,0.002,AN,-,-,OCEAN
POR17,,POR17,LC,SU,-,-,POR17 -,"1988 Vise Expedition, Japan and Chukotsk seas",-,-,-,,AN,,,OCEAN
POR20,,POR20,LC,SU,1960,1960,POR20,1960 Soviet Pacific   meteo launch site,-,175.7,36.7,0.1,AN,-,-,OCEAN
POR21,,POR21,LC,SU,1960,1960,POR21,1960 Soviet Pacific   meteo launch site,-,175.7,36.7,0.1,AN,-,-,OCEAN
POR22,,POR22,LC,US,Mar-49,Mar-49,POR22,APL Aerobee Pacific Ocean cruise,-,-88.43,-11.1,0.02,USN,-,-,OCEAN
POR23,,POR23,LC,SU,1977,1977,POR23 -,"Pacific Ocean Sites, Korolev 1977 cruise",-,,,,AN,-,-,OCEAN
PRIL76A,,PRIL76A,LC,SU,Oct-76,Jan-77,Priliv 76,Priliv cruise 1976-77,-,,,,SU,-,-,OCEAN
PRIL79A,,PRIL79A,LC,SU,May-79,Jul-79,Priliv 79,Priliv cruise 1979,-,,,,SU,-,-,OCEAN
PRIL80A,,PRIL80A,LC,SU,Apr-80,Jun-80,Priliv 80,Priliv cruise 1980,-,,,,SU,-,-,OCEAN
PRIL81A,,PRIL81A,LC,SU,Jan-81,Apr-81,Priliv 81,Priliv cruise 1981,-,,,,SU,-,-,OCEAN
PRIL87A,,PRIL87A,LC,SU,Jan-87,Jan-87,Priliv 87,Priliv cruise 1987,-,,,,SU,-,-,OCEAN
PRIL87B,,PRIL87B,LC,SU,Nov-87,Dec-87,Priliv 87,Priliv cruise 1987,-,,,,SU,-,-,OCEAN
PRIL88A,,PRIL88A,LC,SU,Feb-88,Feb-88,Priliv 88,Priliv cruise 1988,-,,,,SU,-,-,OCEAN
PRIL88B,,PRIL88B,LC,SU,Apr-88,Apr-88,Priliv 88,Priliv cruise 1988,-,,,,SU,-,-,OCEAN
PRIL88C,,PRIL88C,LC,SU,Dec-88,Mar-89,Priliv 88,Priliv cruise 1988,-,,,,SU,-,-,OCEAN
PRIL90A,,PRIL90A,LC,SU,Jan-90,Mar-90,Priliv 90,Priliv cruise 1990,-,,,,SU,-,-,OCEAN
RODR,,RODR,LC,SU,1968,1969,IOR4  M9046,Soviet meteo ship launch site near Rodrigues Island,Indian Ocean,65,-20,0.1,SU,-,-,OCEAN
SHIR72A,,SHIR72A,LC,SU,Jan-72,Mar-72,SHIR72A,Shirsov cruise Jan-Mar 1972,-,,,,SU,-,-,OCEAN
SHIR72B,,SHIR72B,LC,SU,Jul-72,Aug-72,SHIR72B,Shirsov cruise Jul-Aug 1972,-,,,,SU,-,-,OCEAN
SHIR72C,,SHIR72C,LC,SU,Dec-72,Mar-73,SHIR72C,Shirsov cruise Dec 1972  - Mar 1973,-,,,,SU,-,-,OCEAN
SHIR73A,,SHIR73A,LC,SU,1973,1973,SHIR73A,Shirsov cruise Jul-Sep 1973,-,,,,SU,-,-,OCEAN
SHIR73B,,SHIR73B,LC,SU,Dec-73,Mar-74,SHIR73B,Shirsov cruise Dec 1973,-,,,,SU,-,-,OCEAN
SHIR74A,,SHIR74A,LC,SU,Dec-74,Jan-75,SHIR74,Shirsov cruise Dec 1974-Jan 1975,-,,,,SU,-,-,OCEAN
SHIR75A,,SHIR75A,LC,SU,Mar-75,Mar-75,SHIR75A,Shirsov cruise Mar 1975,-,,,,SU,-,-,OCEAN
SHIR75B,,SHIR75B,LC,SU,May-75,Jun-75,SHIR75B,Shirsov cruise May-Jun 1975,-,,,,SU,-,-,OCEAN
SHIR76A,,SHIR76A,LC,SU,Jan-76,Feb-76,SHIR76A,Shirsov cruise Jan-Feb 1976,-,,,,SU,-,-,OCEAN
SHIR76B,,SHIR76B,LC,SU,Oct-76,Feb-77,SHIR76B,Shirsov cruise Oct 1976-Feb 1977,-,,,,SU,-,-,OCEAN
SHIR78A,,SHIR78A,LC,SU,Mar-78,Mar-78,SHIR78A,Shirsov cruise Mar 1978,-,,,,SU,-,-,OCEAN
SHIR79A,,SHIR79A,LC,SU,Apr-79,May-79,SHIR79A,Shirsov cruise May 1979,-,,,,SU,-,-,OCEAN
SHIR80A,,SHIR80A,LC,SU,Feb-80,Mar-80,SHIR80A,Shirsov cruise 1980,-,,,,SU,-,-,OCEAN
SHIR80B,,SHIR80B,LC,SU,Apr-80,Jun-80,SHIR80B,Shirsov cruise 1980,-,,,,SU,-,-,OCEAN
SHIR81A,,SHIR81A,LC,SU,Jan-81,Mar-81,SHIR81A,Shirsov cruise 1981,-,,,,SU,-,-,OCEAN
SHIR82A,,SHIR82A,LC,SU,May-82,Jul-82,SHIR82A,Shirsov cruise 1982,-,,,,SU,-,-,OCEAN
SHIR83A,,SHIR83A,LC,SU,Feb-83,Mar-83,SHIR83A,Shirsov cruise 1983,-,,,,SU,-,-,OCEAN
SHIR85A,,SHIR85A,LC,SU,Oct-85,Jan-86,SHIR85A,Shirsov cruise 1985,-,,,,SU,-,-,OCEAN
SHIR86A,,SHIR86A,LC,SU,Apr-86,Jun-86,SHIR86A,Shirsov cruise 1986,-,,,,SU,-,-,OCEAN
SHIR87A,,SHIR87A,LC,SU,Jan-87,Feb-87,SHIR87A,Shirsov cruise 1987,-,,,,SU,-,-,OCEAN
SHIR87B,,SHIR87B,LC,SU,Oct-87,Dec-87,SHIR87B,Shirsov cruise 1987,-,,,,SU,-,-,OCEAN
SHIR88A,,SHIR88A,LC,SU,Mar-88,May-88,SHIR88A,Shirsov cruise 1988,-,,,,SU,-,-,OCEAN
SHIR89A,,SHIR89A,LC,SU,Aug-89,Oct-89,SHIR89A,Shirsov cruise 1989,-,,,,SU,-,-,OCEAN
SHIR90A,,SHIR90A,LC,SU,Jan-90,Mar-90,SHIR90A,Shirsov cruise 1990,-,,,,SU,-,-,OCEAN
SHOK74A,,SHOK74A,LC,SU,Jan-74,Mar-74,SHOK74A,Shokalskiy cruise 1974,-,,,,SU,-,-,OCEAN
SHOK74B,,SHOK74B,LC,SU,Aug-74,Nov-74,SHOK74B,Shokalskiy cruise 1974,-,,,,SU,-,-,OCEAN
SHOK75A,,SHOK75A,LC,SU,Apr-75,Jun-75,SHOK75A,Shokalskiy cruise 1975,-,,,,SU,-,-,OCEAN
SHOK76A,,SHOK76A,LC,SU,Feb-76,Apr-76,SHOK76A,Shokalskiy cruise 1976,-,,,,SU,-,-,OCEAN
SHOK76B,,SHOK76B,LC,SU,Jun-76,Aug-76,SHOK76B,Shokalskiy cruise 1976,-,,,,SU,-,-,OCEAN
SHOK76C,,SHOK76C,LC,SU,Dec-76,Jan-77,SHOK76C,Shokalskiy cruise 1976,-,,,,SU,-,-,OCEAN
SHOK77A,,SHOK77A,LC,SU,May-77,Jul-77,SHOK77A,Shokalskiy cruise 1977,-,,,,SU,-,-,OCEAN
SHOK77B,,SHOK77B,LC,SU,Nov-77,Jan-78,SHOK77B,Shokalskiy cruise 1977,-,,,,SU,-,-,OCEAN
SHOK79A,,SHOK79A,LC,SU,Feb-79,Mar-79,SHOK79A,Shokalskiy cruise 1979,-,,,,SU,-,-,OCEAN
SHOK79B,,SHOK79B,LC,SU,Jun-79,Aug-79,SHOK79B,Shokalskiy cruise 1979,-,,,,SU,-,-,OCEAN
SHOK79C,,SHOK79C,LC,SU,Nov-79,Jan-80,SHOK79C,Shokalskiy cruise 1979,-,,,,SU,-,-,OCEAN
STANNA,,STANNA,LC,SU,1984,1984,St Anna Trench,"St Anna Trench, Arctic Ocean",Arctic Ocean,-,-,,VMF,-,-,OCEAN
UNKMR1,,UNKMR1,LC,SU,Dec-66,Feb-67,UNKMR1,"Unknown Soviet ship cruise, Dec 1966-Feb 1967",-,,,,SU,-,-,OCEAN
UNKMR2,,UNKMR2,LC,SU,Dec-66,Feb-67,UNKMR2,"Unknown Soviet ship cruise, Dec 1966-Feb 1967",-,,,,SU,-,-,OCEAN
UNKMR3,,UNKMR3,LC,SU,Jul-68,Sep-68,UNKMR3,"Unknown Soviet ship cruise, Jul-Sep 1968",-,,,,SU,-,-,OCEAN
UNKMR4,,UNKMR4,LC,SU,Jan-69,Feb-69,UNKMR4,"Unknown Soviet ship cruise, Jan 1969",-,,,,SU,-,-,OCEAN
UNKMR5,,UNKMR5,LC,SU,May-69,Jul-69,UNKMR5,"Unknown Soviet ship cruise, May-Jun 1969",-,,,,SU,-,-,OCEAN
UNKMR6,,UNKMR6,LC,SU,Sep-69,Oct-69,UNKMR6,"Unknown Soviet ship cruise, Sep-Oct 1969",-,,,,SU,-,-,OCEAN
UNKMR7,,UNKMR7,LC,SU,Jan-70,Feb-70,UNKMR7,"Unknown Soviet ship cruise, Jan-Feb 1970",-,,,,SU,-,-,OCEAN
UNKMR8,,UNKMR8,LC,SU,Mar-70,Apr-70,UNKMR8,"Unknown Soviet ship cruise, Mar-Apr 1970",-,,,,SU,-,-,OCEAN
UNKMR9,,UNKMR9,LC,SU,Jun-70,Jul-70,UNKMR9,"Unknown Soviet ship cruise, Jun-Jul 1970",-,,,,SU,-,-,OCEAN
UNKMR10,,UNKMR10,LC,SU,Oct-70,Feb-71,UNKMR10,"Unknown Soviet ship cruise, Oct 1970-Feb 1971",-,,,,SU,-,-,OCEAN
UNKMR11,,UNKMR11,LC,SU,May-71,Jul-71,UNKMR11,"Unknown Soviet ship cruise, May-Jul 1971",-,,,,SU,-,-,OCEAN
NOKV73A,,NOKV73A,LC,SU,1973,1973,NOKV73A,Noyekov cruise May-Jul 1973,-,,,,SU,-,-,OCEAN
NOKV73B,,NOKV73B,LC,SU,1973,1973,NOKV73B,Noyekov cruise Oct-Dec 1973,-,,,,SU,-,-,OCEAN
USHA76A,,USHA76A,LC,SU,Apr-76,Jun-76,Ushakov 76,Ushakov cruise 1976,-,,,,SU,-,-,OCEAN
USHA76B,,USHA76B,LC,SU,Aug-76,Oct-76,Ushakov 76,Ushakov cruise 1976,-,,,,SU,-,-,OCEAN
USHA77A,,USHA77A,LC,SU,Apr-77,Jun-77,Ushakov 77,Ushakov cruise 1977,-,,,,SU,-,-,OCEAN
USHA77B,,USHA77B,LC,SU,Jul-77,Sep-77,Ushakov 77,Ushakov cruise 1977,-,,,,SU,-,-,OCEAN
